Version,Bundling/Dropping Time (ms),Energy (J)
acrylicPaintDropping,10,10.2872616104
acrylicPaintDropping,10,10.0719249526
acrylicPaintDropping,10,9.9845409642
acrylicPaintDropping,10,10.3167209352
acrylicPaintDropping,10,10.1066813528
acrylicPaintDropping,10,9.290544595
acrylicPaintDropping,10,10.0805805682
acrylicPaintDropping,10,10.6957145024
acrylicPaintDropping,10,10.0356564022
acrylicPaintDropping,10,10.4847201198
acrylicPaintBundling,10,10.1141693434
acrylicPaintBundling,10,10.2326019892
acrylicPaintBundling,10,10.2260534022
acrylicPaintBundling,10,9.7593961112
acrylicPaintBundling,10,10.032210212
acrylicPaintBundling,10,10.3467438052
acrylicPaintBundling,10,10.0775448108
acrylicPaintBundling,10,10.119654633
acrylicPaintOriginal,10,9.0023592704
acrylicPaintOriginal,10,9.7116462556
acrylicPaintOriginal,10,9.8470976522
acrylicPaintOriginal,10,9.7333717506
acrylicPaintOriginal,10,9.7656423738
acrylicPaintOriginal,10,9.70591749
acrylicPaintOriginal,10,7.8378028834
acrylicPaintOriginal,10,9.9080125494
acrylicPaintOriginal,10,8.3043441704
acrylicPaintOriginal,10,9.7794990358
acrylicPaintDropping,30,9.280639075
acrylicPaintDropping,30,9.3476128434
acrylicPaintDropping,30,9.0216042554
acrylicPaintDropping,30,9.1363532088
acrylicPaintDropping,30,9.279765888
acrylicPaintDropping,30,9.1795334168
acrylicPaintDropping,30,9.319412377
acrylicPaintDropping,30,9.097597903
acrylicPaintDropping,30,9.0950148708
acrylicPaintDropping,30,9.0467854522
acrylicPaintOriginal,30,9.0023592704
acrylicPaintOriginal,30,9.7116462556
acrylicPaintOriginal,30,9.8470976522
acrylicPaintOriginal,30,9.7333717506
acrylicPaintOriginal,30,9.7656423738
acrylicPaintOriginal,30,9.70591749
acrylicPaintOriginal,30,7.8378028834
acrylicPaintOriginal,30,9.9080125494
acrylicPaintOriginal,30,8.3043441704
acrylicPaintOriginal,30,9.7794990358
acrylicPaintBundling,30,9.184520396
acrylicPaintBundling,30,9.0759761182
acrylicPaintBundling,30,9.1072824602
acrylicPaintBundling,30,9.1085689464
acrylicPaintBundling,30,9.0396561774
acrylicPaintBundling,30,9.0826297668
acrylicPaintBundling,30,9.1085999368
acrylicPaintBundling,30,9.1484630564
acrylicPaintDropping,100,8.1582443068
acrylicPaintDropping,100,8.2519771512
acrylicPaintDropping,100,8.153703997
acrylicPaintDropping,100,8.1123439602
acrylicPaintDropping,100,8.2453060596
acrylicPaintDropping,100,7.9205492882
acrylicPaintDropping,100,8.2265177358
acrylicPaintDropping,100,8.1784890366
acrylicPaintDropping,100,8.2491191744
acrylicPaintDropping,100,8.0770004468
acrylicPaintOriginal,100,9.0023592704
acrylicPaintOriginal,100,9.7116462556
acrylicPaintOriginal,100,9.8470976522
acrylicPaintOriginal,100,9.7333717506
acrylicPaintOriginal,100,9.7656423738
acrylicPaintOriginal,100,9.70591749
acrylicPaintOriginal,100,7.8378028834
acrylicPaintOriginal,100,9.9080125494
acrylicPaintOriginal,100,8.3043441704
acrylicPaintOriginal,100,9.7794990358
acrylicPaintBundling,100,8.3752525826
acrylicPaintBundling,100,8.173087038
acrylicPaintBundling,100,8.1162803736
acrylicPaintBundling,100,8.0141142878
acrylicPaintBundling,100,8.2990743416
acrylicPaintBundling,100,8.2105880276
acrylicPaintBundling,100,8.2024236604
acrylicPaintBundling,100,8.2658408292
acrylicPaintBundling,100,8.2889951948
acrylicPaintBundling,100,8.1531828688
acrylicPaintBundling,200,7.904858007
acrylicPaintBundling,200,8.0605366914
acrylicPaintBundling,200,7.9163525522
acrylicPaintBundling,200,7.9579016866
acrylicPaintBundling,200,8.0033810638
acrylicPaintBundling,200,8.0074989092
acrylicPaintBundling,200,7.8272951374
acrylicPaintBundling,200,7.7565863634
acrylicPaintBundling,200,7.9422181092
acrylicPaintBundling,200,8.0176220774
acrylicPaintOriginal,200,9.0023592704
acrylicPaintOriginal,200,9.7116462556
