Version,Bundling/Dropping Time (ms),Number of Context Switches
acrylicPaintBundling,200,40206
acrylicPaintBundling,200,40991
acrylicPaintBundling,200,41160
acrylicPaintBundling,200,46090
acrylicPaintBundling,200,45328
acrylicPaintBundling,200,44407
acrylicPaintBundling,200,41025
acrylicPaintBundling,200,42296
acrylicPaintBundling,200,40255
acrylicPaintBundling,200,41212
acrylicPaintBundling,200,41021
acrylicPaintBundling,200,40212
acrylicPaintBundling,2000,35381
acrylicPaintBundling,2000,34109
acrylicPaintBundling,2000,33193
acrylicPaintBundling,2000,33336
acrylicPaintBundling,2000,34462
acrylicPaintBundling,2000,34575
acrylicPaintBundling,2000,45268
acrylicPaintBundling,2000,34891
acrylicPaintBundling,2000,34185
acrylicPaintBundling,2000,47972
acrylicPaintBundling,2000,34516
acrylicPaintBundling,2000,34299
acrylicPaintDropping,30,48089
acrylicPaintDropping,30,46244
acrylicPaintDropping,30,45541
acrylicPaintDropping,30,46073
acrylicPaintDropping,30,46505
acrylicPaintDropping,30,47425
acrylicPaintDropping,30,48535
acrylicPaintDropping,30,46677
acrylicPaintDropping,30,45297
acrylicPaintDropping,30,46842
acrylicPaintDropping,30,45287
acrylicPaintDropping,100,40885
acrylicPaintDropping,100,43295
acrylicPaintDropping,100,41438
acrylicPaintDropping,100,42366
acrylicPaintDropping,100,44093
acrylicPaintDropping,100,42157
acrylicPaintDropping,100,42008
acrylicPaintDropping,100,41641
acrylicPaintDropping,100,43237
acrylicPaintDropping,100,41518
acrylicPaintDropping,10,51565
acrylicPaintDropping,10,52129
acrylicPaintDropping,10,52968
acrylicPaintDropping,10,51992
acrylicPaintDropping,10,51685
acrylicPaintDropping,10,52043
acrylicPaintDropping,10,52669
acrylicPaintDropping,10,52180
acrylicPaintDropping,10,51381
acrylicPaintDropping,10,51620
acrylicPaintDropping,500,36904
acrylicPaintDropping,500,37217
acrylicPaintDropping,500,45646
acrylicPaintDropping,500,38475
acrylicPaintDropping,500,37914
acrylicPaintDropping,500,36437
acrylicPaintDropping,500,36958
acrylicPaintDropping,500,36561
acrylicPaintDropping,500,36531
acrylicPaintDropping,500,37208
acrylicPaintDropping,500,37089
acrylicPaintBundling,1000,34863
acrylicPaintBundling,1000,35310
acrylicPaintBundling,1000,36684
acrylicPaintBundling,1000,34582
acrylicPaintBundling,1000,36310
acrylicPaintBundling,1000,36485
acrylicPaintBundling,1000,36713
acrylicPaintBundling,1000,34526
acrylicPaintBundling,1000,34983
acrylicPaintBundling,10,51752
acrylicPaintBundling,10,51568
acrylicPaintBundling,10,51501
acrylicPaintBundling,10,52153
acrylicPaintBundling,10,52358
acrylicPaintBundling,10,51553
acrylicPaintBundling,10,52504
acrylicPaintBundling,10,52008
acrylicPaintBundling,10,52040
acrylicPaintBundling,10,53520
acrylicPaintOriginal,10,44410
acrylicPaintOriginal,10,46874
acrylicPaintOriginal,10,45646
acrylicPaintOriginal,10,46090
acrylicPaintOriginal,10,45328
acrylicPaintOriginal,10,45268
acrylicPaintOriginal,10,46833
acrylicPaintOriginal,10,47972
acrylicPaintOriginal,10,45287
acrylicPaintOriginal,10,45080
acrylicPaintOriginal,30,44410
acrylicPaintOriginal,30,46874
acrylicPaintOriginal,30,45646
acrylicPaintOriginal,30,46090
acrylicPaintOriginal,30,45328
acrylicPaintOriginal,30,45268
