Version,Bundling/Dropping Time (ms),Energy (J)
colorPickerDropping,10,67.953714645
colorPickerDropping,10,68.6305443798
colorPickerDropping,10,69.224734948
colorPickerDropping,10,68.2306887942
colorPickerDropping,10,70.2550703068
colorPickerDropping,10,69.8885359014
colorPickerDropping,10,66.2763073828
colorPickerDropping,10,66.7833337286
colorPickerDropping,10,66.0362155788
colorPickerDropping,10,68.2637831238
colorPickerDropping,10,67.9406123314
colorPickerDropping,10,69.339616445
colorPickerDropping,10,69.2463218508
colorPickerDropping,10,67.4855010644
colorPickerDropping,10,68.4867648252
colorPickerDropping,10,67.4585511228
colorPickerDropping,10,68.0057261534
colorPickerDropping,10,67.2759204928
colorPickerDropping,10,67.345300384
colorPickerDropping,10,68.7901397764
colorPickerDropping,10,68.5546927672
colorPickerDropping,10,67.5439135436
colorPickerDropping,10,67.9609443816
colorPickerDropping,10,67.1741769306
colorPickerDropping,10,67.2438175402
colorPickerDropping,10,67.7020532586
colorPickerDropping,10,67.6451517908
colorPickerDropping,10,67.69581938
colorPickerDropping,10,67.4964350594
colorPickerDropping,10,67.4828315844
colorPickerDropping,10,69.1345820136
colorPickerDropping,10,67.1612509566
colorPickerDropping,10,68.4704079238
colorPickerDropping,10,68.9645574902
colorPickerDropping,10,68.6613729746
colorPickerDropping,10,68.060902448
colorPickerDropping,10,67.64322663
colorPickerDropping,10,68.7935072052
colorPickerDropping,10,66.9237900968
colorPickerDropping,10,67.9743539288
colorPickerOriginal,10,65.9296818446
colorPickerOriginal,10,66.7208384218
colorPickerOriginal,10,66.1396949752
colorPickerOriginal,10,65.5218868366
colorPickerOriginal,10,67.4234353826
colorPickerOriginal,10,66.469172415
colorPickerOriginal,10,67.148678397
colorPickerOriginal,10,66.7967960098
colorPickerOriginal,10,65.8270710714
colorPickerOriginal,10,62.7347457154
colorPickerOriginal,10,65.2371219546
colorPickerOriginal,10,66.4406221002
colorPickerOriginal,10,65.6887116424
colorPickerOriginal,10,66.0534273496
colorPickerOriginal,10,67.6901160474
colorPickerOriginal,10,63.5087100016
colorPickerOriginal,10,66.0145499704
colorPickerOriginal,10,65.0787746944
colorPickerOriginal,10,66.831426952
colorPickerOriginal,10,67.7012956958
colorPickerOriginal,10,66.1242811
colorPickerOriginal,10,65.5983433474
colorPickerOriginal,10,66.2506375284
colorPickerOriginal,10,66.3851869644
colorPickerOriginal,10,65.9303235366
colorPickerOriginal,10,65.0702508968
colorPickerOriginal,10,66.4984527236
colorPickerOriginal,10,66.334721365
colorPickerOriginal,10,65.5612081554
colorPickerOriginal,10,67.2660914624
colorPickerOriginal,10,65.244684948
colorPickerOriginal,10,65.6694707102
colorPickerOriginal,10,65.679038024
colorPickerOriginal,10,65.7005928156
colorPickerOriginal,10,64.3564197412
colorPickerOriginal,10,65.4611244832
colorPickerOriginal,10,65.0078338166
colorPickerOriginal,10,65.9823022356
colorPickerOriginal,10,67.6086987064
colorPickerOriginal,10,65.8662159282
colorPickerBundling,10,66.5943212274
colorPickerBundling,10,66.8796081602
colorPickerBundling,10,66.44256813
colorPickerBundling,10,66.5624732036
colorPickerBundling,10,67.1018521086
colorPickerBundling,10,65.8492647136
colorPickerBundling,10,65.3089327794
colorPickerBundling,10,65.3820407642
colorPickerBundling,10,66.0408020554
colorPickerBundling,10,66.304058177
colorPickerBundling,10,66.5775771122
colorPickerBundling,10,66.3091976114
colorPickerBundling,10,67.1230615868
colorPickerBundling,10,66.7651560696
colorPickerBundling,10,66.3874292916
colorPickerBundling,10,66.8503111326
colorPickerBundling,10,66.3643106044
colorPickerBundling,10,65.0196872528
colorPickerBundling,10,67.950607213
colorPickerBundling,10,66.539417045
colorPickerBundling,10,68.0333207314
colorPickerBundling,10,66.4654769196
colorPickerBundling,10,66.069566385
colorPickerBundling,10,67.36585563
colorPickerBundling,10,67.0729918052
colorPickerBundling,10,67.326151505
colorPickerBundling,10,66.6932755318
colorPickerBundling,10,67.5363899494
colorPickerBundling,10,65.9078960084
colorPickerBundling,10,66.9253043678
colorPickerBundling,10,66.4691080904
colorPickerBundling,10,66.4500655344
colorPickerBundling,10,66.0711120024
colorPickerBundling,10,67.8400075228
colorPickerBundling,10,66.3819993026
colorPickerBundling,10,66.4673737658
colorPickerBundling,10,65.7740545446
colorPickerBundling,10,64.747923063
colorPickerBundling,10,66.338194426
colorPickerBundling,10,69.6731550078
colorPickerDropping,30,68.0857916338
colorPickerDropping,30,69.229251402
colorPickerDropping,30,67.826781591
colorPickerDropping,30,69.2013967272
colorPickerDropping,30,66.8930700946
colorPickerDropping,30,68.7683087386
colorPickerDropping,30,67.7819024828
colorPickerDropping,30,69.4848243876
colorPickerDropping,30,67.8861376536
colorPickerDropping,30,67.1223693226
colorPickerDropping,30,68.6591221106
colorPickerDropping,30,68.7980960064
colorPickerDropping,30,71.0450127884
colorPickerDropping,30,67.3964841944
colorPickerDropping,30,66.6311609652
colorPickerDropping,30,66.6057082408
colorPickerDropping,30,68.2635866354
colorPickerDropping,30,68.130810777
colorPickerDropping,30,67.7540772078
colorPickerDropping,30,67.8484091026
colorPickerDropping,30,68.0315386848
colorPickerDropping,30,67.99645151
colorPickerDropping,30,68.335464506
colorPickerDropping,30,68.5482704508
colorPickerDropping,30,68.5058618512
colorPickerDropping,30,68.339608129
colorPickerDropping,30,68.74672591
colorPickerDropping,30,68.2877681766
colorPickerDropping,30,67.7217825132
colorPickerDropping,30,67.8097505686
colorPickerDropping,30,69.275405685
colorPickerDropping,30,69.1070390602
colorPickerDropping,30,68.114434266
colorPickerDropping,30,67.6338057186
colorPickerDropping,30,68.8764557484
colorPickerDropping,30,68.3382889714
colorPickerDropping,30,69.0412048042
colorPickerDropping,30,68.5020266694
colorPickerDropping,30,67.3432695334
colorPickerDropping,30,67.5596152622
colorPickerOriginal,30,65.9296818446
