Version,# of Measurements/second,Energy (J)
sensorDropping-0.1s,5,51.6704320968
sensorDropping-0.1s,5,54.0430578528
sensorDropping-0.1s,5,50.495750745
sensorDropping-0.1s,5,53.3004167634
sensorDropping-0.1s,5,53.5941590302
sensorDropping-0.1s,5,53.5501323964
sensorDropping-0.1s,5,53.3543248944
sensorDropping-0.1s,5,52.562414645
sensorDropping-0.1s,5,52.2874767528
sensorDropping-0.1s,5,53.3030468262
sensorBundling-0.1s,5,53.0310549564
sensorBundling-0.1s,5,52.870974395
sensorBundling-0.1s,5,52.3292465362
sensorBundling-0.1s,5,52.8646529996
sensorBundling-0.1s,5,51.7576410376
sensorBundling-0.1s,5,52.4154041658
sensorBundling-0.1s,5,46.116605767
sensorBundling-0.1s,5,51.5295337544
sensorBundling-0.1s,5,52.7506673658
sensorBundling-0.1s,5,52.7887506238
sensorOriginal,5,52.335726105
sensorOriginal,5,52.4648614292
sensorOriginal,5,51.868162732
sensorOriginal,5,53.7573303624
sensorOriginal,5,53.8590657182
sensorOriginal,5,52.2548542192
sensorOriginal,5,53.7795400126
sensorOriginal,5,53.1491484016
sensorOriginal,5,53.033706894
sensorOriginal,5,52.3769566498
sensorOriginal,10,69.3311253998
sensorOriginal,10,68.7072203348
sensorOriginal,10,68.5388794582
sensorOriginal,10,68.6393083888
sensorOriginal,10,55.4309341324
sensorOriginal,10,69.3062537668
sensorOriginal,10,68.7375184348
sensorOriginal,10,69.8018128334
sensorOriginal,10,69.7870736204
sensorOriginal,10,68.9965421128
sensorBundling-0.1s,10,64.9186797656
sensorBundling-0.1s,10,65.3255782946
sensorBundling-0.1s,10,66.5121509352
sensorBundling-0.1s,10,69.1367829788
sensorBundling-0.1s,10,68.3413840124
sensorBundling-0.1s,10,68.236692613
sensorBundling-0.1s,10,70.2631533356
sensorBundling-0.1s,10,67.0094693846
sensorBundling-0.1s,10,65.5919492748
sensorBundling-0.1s,10,67.3562424062
sensorDropping-0.1s,10,66.8179096526
sensorDropping-0.1s,10,67.5572736706
sensorDropping-0.1s,10,69.0400998898
sensorDropping-0.1s,10,65.0945264348
sensorDropping-0.1s,10,68.24981337
sensorDropping-0.1s,10,64.6994546992
sensorDropping-0.1s,10,64.5762611908
sensorDropping-0.1s,10,63.5028942422
sensorDropping-0.1s,10,69.2799079116
sensorDropping-0.1s,10,68.2969280832
sensorBundling-0.1s,20,67.0144590716
sensorBundling-0.1s,20,70.735743724
sensorBundling-0.1s,20,71.7691279258
sensorBundling-0.1s,20,68.2215425158
sensorBundling-0.1s,20,74.1894290936
sensorBundling-0.1s,20,71.5469791186
sensorBundling-0.1s,20,67.9678677584
sensorBundling-0.1s,20,69.3051770004
sensorBundling-0.1s,20,70.5454244944
sensorBundling-0.1s,20,68.5610269726
sensorDropping-0.1s,20,66.8499663024
sensorDropping-0.1s,20,70.658358736
sensorDropping-0.1s,20,67.4247916668
sensorDropping-0.1s,20,70.987272321
sensorDropping-0.1s,20,69.77231022
sensorDropping-0.1s,20,72.711179843
sensorDropping-0.1s,20,70.0316168802
sensorDropping-0.1s,20,70.4836439394
sensorDropping-0.1s,20,71.2419841586
sensorDropping-0.1s,20,68.6759335164
sensorOriginal,20,94.6427516564
sensorOriginal,20,93.8455738676
sensorOriginal,20,95.9851828468
sensorOriginal,20,95.4085694962
sensorOriginal,20,92.4394248492
sensorOriginal,20,95.1723316412
sensorOriginal,20,93.3401414648
sensorOriginal,20,97.3062576138
sensorOriginal,20,93.932787308
sensorOriginal,20,94.1726340316
sensorOriginal,30,91.4941774878
sensorOriginal,30,98.3642715706
sensorOriginal,30,90.4342457
sensorOriginal,30,98.1873985366
sensorOriginal,30,97.2161735386
sensorOriginal,30,98.5116865918
sensorOriginal,30,98.1956196006
sensorOriginal,30,99.4283204098
sensorOriginal,30,98.3595153118
sensorOriginal,30,98.1489207162
sensorDropping-0.1s,30,72.336641971
sensorDropping-0.1s,30,71.088270231
sensorDropping-0.1s,30,70.7824055486
sensorDropping-0.1s,30,73.4826186468
sensorDropping-0.1s,30,71.606730544
sensorDropping-0.1s,30,72.6015265514
sensorDropping-0.1s,30,69.9931304328
sensorDropping-0.1s,30,70.3145766342
sensorDropping-0.1s,30,69.5783804868
sensorDropping-0.1s,30,72.2662199904
sensorBundling-0.1s,30,75.674308083
sensorBundling-0.1s,30,72.1091944016
sensorBundling-0.1s,30,76.1954176748
sensorBundling-0.1s,30,75.7564360286
sensorBundling-0.1s,30,72.7016482964
sensorBundling-0.1s,30,71.7338741398
sensorBundling-0.1s,30,73.5772464398
sensorBundling-0.1s,30,72.1201908788
sensorBundling-0.1s,30,74.3791790578
sensorBundling-0.1s,30,75.2867227552
